,satellite,registration_mode,detector,S09_01,S08_02,S05_03,S10_03,S05_04,S11_05,S07_06,S8A_07,S03_08,S10_09,S04_10,S06_11,S01_12,S11_8A,S12_8A
0,S2A,upsampling,1,"[28, 0]","[169, -1]","[239, -2]","[37, -14]","[84, -1]","[74, -14]","[84, 0]","[83, 0]","[168, -2]","[-183, -10]","[84, 24]","[10, 14]","[22, 13]","[-177, -13]","[22, -14]"
1,S2A,downsampling,1,"[28, 0]","[169, -1]","[239, -2]","[37, -14]","[84, -1]","[74, -14]","[84, 0]","[83, 0]","[168, -2]","[-183, -10]","[84, 24]","[10, 14]","[22, 13]","[-177, -13]","[22, -14]"
2,S2B,upsampling,1,"[29, 0]","[169, -1]","[239, -2]","[39, -4]","[84, -1]","[77, -3]","[84, 0]","[83, 0]","[169, -2]","[-183, 0]","[78, 6]","[7, 2]","[21, 2]","[-175, -2]","[25, -3]"
3,S2B,downsampling,1,"[29, 0]","[169, -1]","[239, -2]","[39, -4]","[84, -1]","[77, -3]","[84, 0]","[83, 0]","[169, -2]","[-183, 0]","[78, 6]","[7, 2]","[21, 2]","[-175, -2]","[25, -3]"
4,S2A,upsampling,2,"[-29, 1]","[-168, 2]","[-240, 3]","[-36, -14]","[-84, 1]","[-69, -13]","[-84, 1]","[-85, 1]","[-168, 2]","[185, -23]","[-96, 34]","[-16, 14]","[-22, 15]","[186, -16]","[-16, -14]"
5,S2A,downsampling,2,"[-29, 1]","[-168, 2]","[-240, 3]","[-36, -14]","[-84, 1]","[-69, -13]","[-84, 1]","[-85, 1]","[-168, 2]","[185, -23]","[-96, 34]","[-16, 14]","[-22, 15]","[186, -16]","[-16, -14]"
6,S2B,upsampling,2,"[-29, 1]","[-167, 2]","[-239, 3]","[-36, -2]","[-84, 1]","[-67, -2]","[-84, 1]","[-85, 1]","[-168, 2]","[184, -10]","[-88, 8]","[-18, 3]","[-23, 4]","[188, -6]","[-14, -3]"
7,S2B,downsampling,2,"[-29, 1]","[-167, 2]","[-239, 3]","[-36, -2]","[-84, 1]","[-67, -2]","[-84, 1]","[-85, 1]","[-168, 2]","[184, -10]","[-88, 8]","[-18, 3]","[-23, 4]","[188, -6]","[-14, -3]"
8,S2A,upsampling,3,"[28, 0]","[166, -1]","[236, -1]","[37, -14]","[83, -1]","[73, -14]","[83, 0]","[82, 0]","[167, -1]","[-180, -11]","[82, 28]","[9, 13]","[21, 13]","[-175, -13]","[22, -14]"
9,S2A,downsampling,3,"[28, 0]","[166, -1]","[236, -1]","[37, -14]","[83, -1]","[73, -14]","[83, 0]","[82, 0]","[167, -1]","[-180, -11]","[82, 28]","[9, 13]","[21, 13]","[-175, -13]","[22, -14]"
