,ID_event,Start,End,Sat,"Coords (Lat, Lon)",class,Raw_useful_granules,Raw_complementary_granules,Polygon_square,Raw_files,l1c_files,bbox_list,bbox_list_merged,Polygon
0,Barren_Island_00,28/09/2018,28/09/2018 23:59,S2A,"(12.28474241, 93.86212046)",eruption,[2],[4],"POLYGON ((93.82076157486179 12.244061101857305, 93.8207488665122 12.325417348895849, 93.9034920534878 12.325417348895849, 93.90347934513821 12.244061101857305, 93.82076157486179 12.244061101857305))","['S2A_OPER_MSI_L0__GR_EPAE_20180929T132957_S20180928T042450_D10_N02.06', 'S2A_OPER_MSI_L0__GR_EPAE_20180929T132957_S20180928T042453_D09_N02.06', 'S2A_OPER_MSI_L0__GR_EPAE_20180929T132957_S20180928T042453_D10_N02.06', 'S2A_OPER_MSI_L0__GR_EPAE_20180929T132957_S20180928T042457_D09_N02.06', 'S2A_OPER_MSI_L0__GR_EPAE_20180929T132957_S20180928T042457_D10_N02.06']",['S2A_MSIL1C_20180928T040541_N0206_R047_T46PEU_20180929T135308'],"{2: [[[403, 290], [427, 284], [435, 316], [410, 322]]]}","{2: [[[403, 290], [427, 284], [435, 316], [410, 322], [403, 290]]]}","POLYGON((93.81618097217948 12.158183811523221, 93.81613704194822 12.411292126632908, 93.90810387805179 12.41129212663291, 93.90805994782052 12.158183811523221, 93.81618097217948 12.158183811523221))"
1,Barren_Island_01,28/10/2018,28/10/2018 23:59,S2A,"(12.28474241, 93.86212046)",eruption,[2],[4],"POLYGON ((93.82076157486179 12.244061101857305, 93.8207488665122 12.325417348895849, 93.9034920534878 12.325417348895849, 93.90347934513821 12.244061101857305, 93.82076157486179 12.244061101857305))","['S2A_OPER_MSI_L0__GR_EPAE_20181028T064658_S20181028T042451_D10_N02.06', 'S2A_OPER_MSI_L0__GR_EPAE_20181028T064658_S20181028T042455_D09_N02.06', 'S2A_OPER_MSI_L0__GR_EPAE_20181028T064658_S20181028T042455_D10_N02.06', 'S2A_OPER_MSI_L0__GR_EPAE_20181028T064658_S20181028T042458_D09_N02.06', 'S2A_OPER_MSI_L0__GR_EPAE_20181028T064658_S20181028T042458_D10_N02.06']",['S2A_MSIL1C_20181028T040851_N0206_R047_T46PEU_20181028T070450'],"{2: [[[391, 59], [412, 54], [418, 82], [398, 87]]]}","{2: [[[391, 59], [412, 54], [418, 82], [398, 87], [391, 59]]]}","POLYGON((93.81618097217948 12.158183811523221, 93.81613704194822 12.411292126632908, 93.90810387805179 12.41129212663291, 93.90805994782052 12.158183811523221, 93.81618097217948 12.158183811523221))"
2,Barren_Island_02,29/07/2021,29/07/2021 23:59,S2B,"(12.28474241, 93.86212046)",eruption,[2],[4],"POLYGON ((93.82076157486179 12.244061101857305, 93.8207488665122 12.325417348895849, 93.9034920534878 12.325417348895849, 93.90347934513821 12.244061101857305, 93.82076157486179 12.244061101857305))","['S2B_OPER_MSI_L0__GR_VGS4_20210729T062608_S20210729T042456_D10_N03.01', 'S2B_OPER_MSI_L0__GR_VGS4_20210729T062608_S20210729T042459_D09_N03.01', 'S2B_OPER_MSI_L0__GR_VGS4_20210729T062608_S20210729T042459_D10_N03.01', 'S2B_OPER_MSI_L0__GR_VGS4_20210729T062608_S20210729T042503_D09_N03.01', 'S2B_OPER_MSI_L0__GR_VGS4_20210729T062608_S20210729T042503_D10_N03.01']",['S2B_MSIL1C_20210729T040549_N0301_R047_T46PEU_20210729T063323'],"{2: [[[406, 280], [410, 279], [411, 284], [407, 285]]]}","{2: [[[406, 280], [410, 279], [411, 284], [407, 285], [406, 280]]]}","POLYGON((93.81618097217948 12.158183811523221, 93.81613704194822 12.411292126632908, 93.90810387805179 12.41129212663291, 93.90805994782052 12.158183811523221, 93.81618097217948 12.158183811523221))"
3,Barren_Island_10,16/01/2017,16/01/2017 23:59,S2A,"(12.28474241, 93.86212046)",eruption,[1],[3],"POLYGON ((93.82076157486179 12.244061101857305, 93.8207488665122 12.325417348895849, 93.9034920534878 12.325417348895849, 93.90347934513821 12.244061101857305, 93.82076157486179 12.244061101857305))","['S2A_OPER_MSI_L0__GR_MTI__20170116T092952_S20170116T042444_D10_N02.04', 'S2A_OPER_MSI_L0__GR_MTI__20170116T092952_S20170116T042448_D10_N02.04', 'S2A_OPER_MSI_L0__GR_MTI__20170116T092952_S20170116T042452_D09_N02.04', 'S2A_OPER_MSI_L0__GR_MTI__20170116T092952_S20170116T042452_D10_N02.04', 'S2A_OPER_MSI_L0__GR_MTI__20170116T092952_S20170116T042455_D09_N02.04']",['S2A_MSIL1C_20170116T041111_N0204_R047_T46PEU_20170116T041554'],"{1: [[[297, 770], [302, 768], [303, 773], [298, 774]]]}","{1: [[[297, 770], [302, 768], [303, 773], [298, 774], [297, 770]]]}","POLYGON((93.81618097217948 12.158183811523221, 93.81613704194822 12.411292126632908, 93.90810387805179 12.41129212663291, 93.90805994782052 12.158183811523221, 93.81618097217948 12.158183811523221))"
4,Chillan_Nevados_de_01,25/05/2021,25/05/2021 23:59,S2A,"(-36.86703697, -71.37834332)",eruption,[1],[2],"POLYGON ((-71.42883743575479 -36.90757572578428, -71.4287840958646 -36.82647650810975, -71.3279025441354 -36.82647650810974, -71.32784920424521 -36.90757572578428, -71.42883743575479 -36.90757572578428))","['S2A_OPER_MSI_L0__GR_VGS1_20210525T174739_S20210525T144309_D01_N03.00', 'S2A_OPER_MSI_L0__GR_VGS1_20210525T174739_S20210525T144313_D01_N03.00', 'S2A_OPER_MSI_L0__GR_VGS1_20210525T174739_S20210525T144316_D01_N03.00']",['S2A_MSIL1C_20210525T142731_N0300_R053_T19HBV_20210525T175151'],"{1: [[[204, 1077], [224, 1073], [231, 1099], [211, 1103]]]}","{1: [[[204, 1077], [224, 1073], [231, 1099], [211, 1103], [204, 1077]]]}","POLYGON((-71.4345106682654 -36.99317673181827, -71.43432628250127 -36.74086806869344, -71.32236035749872 -36.74086806869344, -71.3221759717346 -36.99317673181827, -71.4345106682654 -36.99317673181827))"
5,Chillan_Nevados_de_02,29/07/2021,29/07/2021 23:59,S2B,"(-36.86621296, -71.37834332)",eruption,[1],[2],"POLYGON ((-71.42883689272017 -36.90675172173991, -71.42878355499849 -36.82565249279449, -71.32790308500151 -36.82565249279449, -71.32784974727983 -36.90675172173991, -71.42883689272017 -36.90675172173991))","['S2B_OPER_MSI_L0__GR_VGS2_20210729T174445_S20210729T144310_D01_N03.01', 'S2B_OPER_MSI_L0__GR_VGS2_20210729T174445_S20210729T144314_D01_N03.01', 'S2B_OPER_MSI_L0__GR_VGS2_20210729T174445_S20210729T144317_D01_N03.01']",['S2B_MSIL1C_20210729T142729_N0301_R053_T19HBV_20210729T175045'],"{1: [[[218, 1088], [226, 1086], [230, 1101], [222, 1103]], [[215, 1110], [228, 1107], [237, 1139], [224, 1142]]]}","{1: [[[[218, 1088], [226, 1086], [230, 1101], [222, 1103], [218, 1088]], [[215, 1110], [228, 1107], [237, 1139], [224, 1142], [215, 1110]]]]}","POLYGON((-71.43451006233992 -36.99235273975587, -71.4343256840719 -36.740044041565646, -71.3223609559281 -36.740044041565646, -71.32217657766007 -36.99235273975587, -71.43451006233992 -36.99235273975587))"
6,Copahue_20,13/10/2019,13/10/2019 23:59,S2A,"(-37.8559729, -71.16034011)",eruption,"[1, 5]","[3, 4]","POLYGON ((-71.21150219511838 -37.896504470656076, -71.21144618467139 -37.81541884487707, -71.10923403532863 -37.81541884487707, -71.10917802488163 -37.896504470656076, -71.21150219511838 -37.896504470656076))","['S2A_OPER_MSI_L0__GR_SGS__20191013T173552_S20191013T144323_D02_N02.08', 'S2A_OPER_MSI_L0__GR_SGS__20191013T173552_S20191013T144326_D02_N02.08', 'S2A_OPER_MSI_L0__GR_SGS__20191013T173552_S20191013T144326_D03_N02.08', 'S2A_OPER_MSI_L0__GR_SGS__20191013T173552_S20191013T144330_D02_N02.08', 'S2A_OPER_MSI_L0__GR_SGS__20191013T173552_S20191013T144330_D03_N02.08', 'S2A_OPER_MSI_L0__GR_SGS__20191013T173552_S20191013T144334_D03_N02.08']","['S2A_MSIL1C_20191013T142731_N0208_R053_T19HCT_20191013T174904', 'S2A_MSIL1C_20191013T142731_N0208_R053_T19HCU_20191013T174904', 'S2A_MSIL1C_20191013T142731_N0208_R053_T19HBU_20191013T174904', 'S2A_MSIL1C_20191013T142731_N0208_R053_T19HBT_20191013T174904']","{1: [[[1273, 332], [1277, 331], [1279, 337], [1275, 338]]], 5: [[[38, 8], [42, 7], [44, 14], [40, 14]]]}","{1: [[[1151, 332], [1151, 331], [1151, 337], [1151, 338], [1151, 332]]], 5: [[[38, 8], [42, 7], [44, 14], [40, 14], [38, 8]]]}","POLYGON((-71.21725279156138 -37.9820910273258, -71.21705917416107 -37.729824650578735, -71.10362104583895 -37.72982465057874, -71.10342742843864 -37.9820910273258, -71.21725279156138 -37.9820910273258))"
7,Copahue_21_NE,06/10/2018 00:00,06/10/2018 23:59,S2B,"(-37.8559729, -71.16034011)",not_event,"[0, 1]",,"POLYGON ((-71.21150219511838 -37.896504470656076, -71.21144618467139 -37.81541884487707, -71.10923403532863 -37.81541884487707, -71.10917802488163 -37.896504470656076, -71.21150219511838 -37.896504470656076))","['S2B_OPER_MSI_L0__GR_EPAE_20181006T205046_S20181006T145313_D12_N02.06', 'S2B_OPER_MSI_L0__GR_EPAE_20181006T205046_S20181006T145316_D11_N02.06', 'S2B_OPER_MSI_L0__GR_EPAE_20181006T205046_S20181006T145316_D12_N02.06', 'S2B_OPER_MSI_L0__GR_EPAE_20181006T205046_S20181006T145320_D11_N02.06', 'S2B_OPER_MSI_L0__GR_EPAE_20181006T205046_S20181006T145320_D12_N02.06', 'S2B_OPER_MSI_L0__GR_EPAE_20181006T205046_S20181006T145324_D11_N02.06']","['S2B_MSIL1C_20181006T143739_N0206_R096_T19HCU_20181006T210246', 'S2B_MSIL1C_20181006T143739_N0206_R096_T19HCT_20181006T210246', 'S2B_MSIL1C_20181006T143739_N0206_R096_T19HBU_20181006T210246', 'S2B_MSIL1C_20181006T143739_N0206_R096_T19HBT_20181006T210246']",{},[],"POLYGON((-71.21725279156138 -37.9820910273258, -71.21705917416107 -37.729824650578735, -71.10362104583895 -37.72982465057874, -71.10342742843864 -37.9820910273258, -71.21725279156138 -37.9820910273258))"
8,Etna_00,30/08/2021,30/08/2021 23:59,S2B,"(37.7439, 14.9949)",eruption,"[2, 4, 5]","[4, 2, 3]","POLYGON ((14.943870970778054 37.70334521617269, 14.943815269967189 37.784432388575, 15.045984730032812 37.78443238857499, 15.045929029221945 37.70334521617269, 14.943870970778054 37.70334521617269))","['S2B_OPER_MSI_L0__GR_VGS4_20210830T103044_S20210830T100003_D10_N03.01', 'S2B_OPER_MSI_L0__GR_VGS4_20210830T103044_S20210830T100007_D09_N03.01', 'S2B_OPER_MSI_L0__GR_VGS4_20210830T103044_S20210830T100007_D10_N03.01', 'S2B_OPER_MSI_L0__GR_VGS4_20210830T103044_S20210830T100010_D09_N03.01', 'S2B_OPER_MSI_L0__GR_VGS4_20210830T103044_S20210830T100010_D10_N03.01', 'S2B_OPER_MSI_L0__GR_VGS4_20210830T103044_S20210830T100014_D09_N03.01']","['S2B_MSIL1C_20210830T095029_N0301_R079_T33SWB_20210830T104000', 'S2B_MSIL1C_20210830T095029_N0301_R079_T33SVB_20210830T104000', 'S2B_MSIL1C_20210830T095029_N0301_R079_T33SWC_20210830T104000', 'S2B_MSIL1C_20210830T095029_N0301_R079_T33SVC_20210830T104000']","{2: [[[165, 94], [168, 93], [169, 97], [166, 97]], [[157, 118], [214, 102], [235, 178], [177, 195]], [[228, 109], [249, 103], [255, 123], [233, 129]], [[251, 124], [256, 122], [257, 127], [252, 128]]], 4: [[[310, 965], [325, 961], [327, 967], [311, 972]]], 5: [[[975, 680], [980, 678], [982, 683], [976, 684]], [[833, 1082], [837, 1080], [839, 1086], [834, 1087]]]}","{2: [[[[249, 103], [228, 109], [233, 129], [251, 124], [252, 128], [257, 127], [256, 122], [254, 122], [249, 103]], [[165, 94], [168, 93], [169, 97], [166, 97], [165, 94]], [[157, 118], [214, 102], [235, 178], [177, 195], [157, 118]]]], 4: [[[310, 965], [325, 961], [327, 967], [311, 972], [310, 965]]], 5: [[[[975, 680], [980, 678], [982, 683], [976, 684], [975, 680]], [[833, 1082], [837, 1080], [839, 1086], [834, 1087], [833, 1082]]]]}","POLYGON((14.93826618025414 37.61774940091972, 14.938073633210639 37.87002058944005, 15.05172636678936 37.87002058944005, 15.05153381974586 37.61774940091972, 14.93826618025414 37.61774940091972))"
9,Etna_01,21/09/2021,21/09/2021 23:59,S2A,"(37.7439, 14.9949)",eruption,[2],[1],"POLYGON ((14.93826618025414 37.61774940091971, 14.93807363321064 37.87002058944005, 15.05172636678936 37.87002058944005, 15.05153381974586 37.61774940091971, 14.93826618025414 37.61774940091971))","['S2A_OPER_MSI_L0__GR_VGS4_20210921T103059_S20210921T095015_D01_N03.01', 'S2A_OPER_MSI_L0__GR_VGS4_20210921T103059_S20210921T095018_D01_N03.01', 'S2A_OPER_MSI_L0__GR_VGS4_20210921T103059_S20210921T095022_D01_N03.01']","['S2A_MSIL1C_20210921T094031_N0301_R036_T33SVB_20210921T104732', 'S2A_MSIL1C_20210921T094031_N0301_R036_T33SWC_20210921T104732', 'S2A_MSIL1C_20210921T094031_N0301_R036_T33SWB_20210921T104732', 'S2A_MSIL1C_20210921T094031_N0301_R036_T33SVC_20210921T104732']","{2: [[[299, 19], [303, 18], [304, 21], [300, 22]], [[290, 30], [362, 16], [390, 133], [318, 147]]]}","{2: [[[[299, 19], [303, 18], [304, 21], [300, 22], [299, 19]], [[290, 30], [362, 16], [390, 133], [318, 147], [290, 30]]]]}","POLYGON((14.93826618025414 37.61774940091972, 14.938073633210639 37.87002058944005, 15.05172636678936 37.87002058944005, 15.05153381974586 37.61774940091972, 14.93826618025414 37.61774940091972))"
