ID_event,granule_couple,coordinates,sensing_time,detector_number,N_v,N_h,N_eff
Barren_Island_01,"[0, 2]",[12.32987187 93.9178503 ],28/10/2018 04:24,10,184,-10,184.2715388
Barren_Island_01,"[1, 3]",[12.44087491 93.71370838],28/10/2018 04:24,9,-172,-11,172.3513853
Barren_Island_01,"[2, 4]",[12.11619451 93.86871486],28/10/2018 04:24,10,185,-10,185.2700731
Barren_Island_02,"[0, 2]",[12.37075955 93.926569  ],29/07/2021 04:24,10,187,2,187.0106949
Barren_Island_02,"[1, 3]",[12.48125208 93.72234549],29/07/2021 04:24,9,-169,-1,169.0029586
Barren_Island_02,"[2, 4]",[12.15677035 93.87739786],29/07/2021 04:24,10,187,2,187.0106949
Barren_Island_10,"[0, 1]",[12.45568818 93.96844714],16/01/2017 04:24,10,184,-10,184.2715388
Barren_Island_10,"[1, 3]",[12.24173121 93.91903633],16/01/2017 04:24,10,184,-9,184.2199772
Barren_Island_10,"[2, 4]",[12.3524577  93.71471902],16/01/2017 04:24,9,-172,-11,172.3513853
Chillan_Nevados_de_01,"[0, 1]",[-36.72829963 -71.22820709],25/05/2021 14:43,1,-179,-12,179.4017837
Chillan_Nevados_de_01,"[1, 2]",[-36.93911341 -71.29770804],25/05/2021 14:43,1,-179,-12,179.4017837
Chillan_Nevados_de_02,"[0, 1]",[-36.72140645 -71.22672918],29/07/2021 14:43,1,-177,-2,177.0112991
Chillan_Nevados_de_02,"[1, 2]",[-36.93193246 -71.29650734],29/07/2021 14:43,1,-176,-2,176.0113633
Copahue_20,"[0, 1]",[-37.72481308 -71.27205607],13/10/2019 14:43,2,187,-16,187.6832438
Copahue_20,"[1, 3]",[-37.93541484 -71.3425861 ],13/10/2019 14:43,2,188,-16,188.6796226
Copahue_20,"[2, 4]",[-37.71277597 -70.97264   ],13/10/2019 14:43,3,-177,-13,177.476759
Copahue_20,"[4, 5]",[-37.92354663 -71.04186055],13/10/2019 14:43,3,-177,-13,177.476759
Etna_00,"[0, 2]",[37.78839439 15.1170077 ],30/08/2021 10:00,10,187,1,187.0026738
Etna_00,"[1, 3]",[37.90576525 14.8680765 ],30/08/2021 10:00,9,-170,-2,170.0117643
Etna_00,"[2, 4]",[37.5769621  15.04769359],30/08/2021 10:00,10,187,1,187.0026738
Etna_00,"[3, 5]",[37.69403264 14.79950582],30/08/2021 10:00,9,-170,-2,170.0117643
Etna_01,"[0, 1]",[37.91166975 15.11632571],21/09/2021 09:50,1,-178,-13,178.4740878
Etna_01,"[1, 2]",[37.69918393 15.05553157],21/09/2021 09:50,1,-177,-13,177.476759
