ID_event,granule_couple,coordinates,sensing_time,detector_number,N_v,N_h,N_eff
Mexico_0,"[0, 2]",[  25.43221955 -100.2269484 ],2021-03-25 17:26:43,6,23.0,-2.0,23.08679276123039
Mexico_0,"[2, 4]",[  25.21910749 -100.28070636],2021-03-25 17:26:47,6,23.0,-2.0,23.08679276123039
Greece_5,"[0, 2]",[38.54562942 24.2867681 ],2019-07-05 09:19:45,6,22.0,-12.0,25.059928172283335
Greece_5,"[2, 4]",[38.33379261 24.22004876],2019-07-05 09:19:49,6,22.0,-12.0,25.059928172283335
Kenya_0,"[0, 2]",[-0.18613292 37.37748282],2019-02-28 07:59:53,6,22.0,-12.0,25.059928172283335
Kenya_0,"[2, 4]",[-0.40036289 37.3305413 ],2019-02-28 07:59:56,6,22.0,-12.0,25.059928172283335
Hungary_0,"[0, 1]",[47.36679297 19.84754081],2017-08-03 09:47:23,6,22.0,-12.0,25.059928172283335
Hungary_0,"[1, 2]",[47.15672067 19.76401333],2017-08-03 09:47:27,6,22.0,-12.0,25.059928172283335
France_1,"[0, 2]",[43.60980383  5.83979465],2017-07-24 10:38:47,6,23.0,-2.0,23.08679276123039
Italy_2,"[0, 1]",[41.977177   12.82933963],2021-08-13 10:09:03,6,23.0,-2.0,23.08679276123039
Italy_2,"[1, 2]",[41.76594104 12.75711796],2021-08-13 10:09:06,6,23.0,-2.0,23.08679276123039
