ID_event,granule_couple,coordinates,sensing_time,detector_number,N_v,N_h,N_eff,
,,,,,,,,
Barren_Island_00,"[0, 2]",[12.37439137 93.92485115],28/09/2018 04:24,10,-29,-1,29.017237,
,,,,,,,,
Barren_Island_00,"[1, 3]",[12.48507942 93.72056757],28/09/2018 04:24,9,28,0,28,
,,,,,,,,
Barren_Island_00,"[2, 4]",[12.16041604 93.87555224],28/09/2018 04:24,10,-29,-1,29.017237,
,,,,,,,,
Barren_Island_01,"[0, 2]",[12.32987187 93.9178503 ],28/10/2018 04:24,10,-29,-1,29.017237,
,,,,,,,, 
Barren_Island_01,"[1, 3]",[12.44087491 93.71370838],28/10/2018 04:24,9,28,0,28,
,,,,,,,,
Barren_Island_01,"[2, 4]",[12.11619451 93.86871486],28/10/2018 04:24,10,-28,-1,28.01785,
,,,,,,,,
Barren_Island_02,"[1, 3]",[12.48125208 93.72234549],29/07/2021 04:24,9,28,0,28,
,,,,,,,,
Karangetang_02,"[1, 2]",[  2.7586348 125.2406599],15/12/2018 02:06,2,-29,1,29.017237,
,,,,,,,,
La_Palma_02,"[2, 4]",[ 28.66379659 -18.08104263],30/09/2021 12:03,9,28,0,28,
,,,,,,,,
Piton_de_la_Fournaise_11,"[0, 1]",[-21.2007861   55.72599583],26/04/2021 06:35,8,-29,0,29,
,,,,,,,,
Piton_de_la_Fournaise_11,"[1, 2]",[-21.41375029  55.67446276],26/04/2021 06:35,8,-29,0,29,
,,,,,,,,
Barren_Island_10,"[0, 1]",[12.45568818 93.96844714],16/01/2017 04:24,10,-30,0,30,
,,,,,,,,
Barren_Island_10,"[1, 3]",[12.24173121 93.91903633],16/01/2017 04:24,10,-28,-1,28.01785,
,,,,,,,,
Barren_Island_11,"[0, 1]",[12.46106318 93.96536214],05/02/2017 04:24,10,-29,-1,29.017237,
,,,,,,,,
Barren_Island_11,"[1, 3]",[12.24712523 93.91582271],05/02/2017 04:24,10,-29,-1,29.017237,
,,,,,,,,
Barren_Island_11,"[2, 4]",[12.35774243 93.71159172],05/02/2017 04:24,9,28,-1,28.01785,
,,,,,,,,
Chillan_Nevados_de_00,"[0, 1]",[-36.76152981 -71.23153243],04/07/2020 14:43,1,29,0,29,
,,,,,,,,
Chillan_Nevados_de_00,"[1, 2]",[-36.97213547 -71.30136325],04/07/2020 14:43,1,29,0,29,
,,,,,,,,
Chillan_Nevados_de_01,"[0, 1]",[-36.72829963 -71.22820709],25/05/2021 14:43,1,29,0,29,
,,,,,,,,
Chillan_Nevados_de_01,"[1, 2]",[-36.93911341 -71.29770804],25/05/2021 14:43,1,29,0,29,
,,,,,,,,
Chillan_Nevados_de_02,"[0, 1]",[-36.72140645 -71.22672918],29/07/2021 14:43,1,29,0,29,
,,,,,,,,
Chillan_Nevados_de_02,"[1, 2]",[-36.93193246 -71.29650734],29/07/2021 14:43,1,29,0,29,
,,,,,,,,
Copahue_01,"[0, 1]",[-37.68945488 -71.2609153 ],07/10/2021 14:43,2,-29,1,29.017237,
,,,,,,,,
Copahue_01,"[1, 3]",[-37.9001027  -71.33120525],07/10/2021 14:43,2,-29,1,29.017237,
,,,,,,,,
Copahue_01,"[2, 4]",[-37.67750396 -70.96217023],07/10/2021 14:43,3,29,0,29,
,,,,,,,,
