ID_event,granule_couple,coordinates,sensing_time,detector_number,N_v,N_h,N_eff
Barren_Island_00,"[2, 4]",[12.16041604 93.87555224],2018-09-28 04:24:53,10,-34.0,-15.0,37.161808
Chillan_Nevados_de_00,"[0, 1]",[-36.76152981 -71.23153243],2020-07-04 14:43:11,1,39.0,-3.0,39.115215
Chillan_Nevados_de_00,"[1, 2]",[-36.97213547 -71.30136325],2020-07-04 14:43:15,1,39.0,-4.0,39.20459
Chillan_Nevados_de_01,"[0, 1]",[-36.72829963 -71.22820709],2021-05-25 14:43:09,1,38.0,-15.0,40.853397
Chillan_Nevados_de_02,"[0, 1]",[-36.72140645 -71.22672918],2021-07-29 14:43:10,1,39.0,-3.0,39.115215
Chillan_Nevados_de_02,"[1, 2]",[-36.93193246 -71.29650734],2021-07-29 14:43:14,1,39.0,-3.0,39.115215
Copahue_01,"[0, 1]",[-37.68945488 -71.2609153 ],2021-10-07 14:43:20,2,-36.0,-2.0,36.05551
Copahue_01,"[1, 3]",[-37.9001027  -71.33120525],2021-10-07 14:43:23,2,-35.0,-2.0,35.057095
Copahue_01,"[2, 4]",[-37.67750396 -70.96217023],2021-10-07 14:43:23,3,38.0,-3.0,38.118237
Copahue_01,"[4, 5]",[-37.88823839 -71.03115067],2021-10-07 14:43:27,3,38.0,-3.0,38.118237
Copahue_20,"[1, 3]",[-37.93541484 -71.3425861 ],2019-10-13 14:43:26,2,-36.0,-13.0,38.27532
Copahue_20,"[2, 4]",[-37.71277597 -70.97264   ],2019-10-13 14:43:26,3,38.0,-13.0,40.16217
Copahue_30,"[0, 2]",[-37.9416861  -70.96837955],2017-07-18 14:53:19,12,-36.0,-13.0,38.27532
Copahue_30,"[1, 3]",[-37.814859   -71.23048023],2017-07-18 14:53:23,11,38.0,-10.0,39.293766
Copahue_30,"[3, 4]",[-38.02640357 -71.29176867],2017-07-18 14:53:26,11,38.0,-10.0,39.293766
Etna_00,"[0, 2]",[37.78839439 15.1170077 ],2021-08-30 10:00:03,10,-34.0,-2.0,34.058773
Etna_00,"[1, 3]",[37.90576525 14.8680765 ],2021-08-30 10:00:07,9,38.0,-1.0,38.013157
Etna_00,"[2, 4]",[37.5769621  15.04769359],2021-08-30 10:00:07,10,-34.0,-2.0,34.058773
Etna_00,"[3, 5]",[37.69403264 14.79950582],2021-08-30 10:00:10,9,38.0,-0.0,38.0
Etna_01,"[0, 1]",[37.91166975 15.11632571],2021-09-21 09:50:15,1,31.0,-8.0,32.01562
Etna_03,"[0, 1]",[37.73354552 15.06005608],2019-05-30 09:50:23,1,38.0,-3.0,38.118237
Fuego_01,"[0, 2]",[ 14.50726828 -90.7186214 ],2021-09-21 16:39:32,4,-35.0,-12.0,37.0
Fuego_01,"[1, 3]",[ 14.60558953 -90.92425786],2021-09-21 16:39:36,3,37.0,-14.0,39.56008
Fuego_01,"[2, 4]",[ 14.29349908 -90.76726472],2021-09-21 16:39:36,4,-35.0,-12.0,37.0
Fuego_01,"[3, 5]",[ 14.39174178 -90.97260533],2021-09-21 16:39:39,3,37.0,-12.0,38.8973
Fuego_02,"[0, 2]",[ 14.5193591  -90.72325757],2021-10-11 16:39:34,4,-35.0,-12.0,37.0
Fuego_02,"[1, 3]",[ 14.61761477 -90.92911751],2021-10-11 16:39:38,3,37.0,-14.0,39.56008
Fuego_02,"[2, 4]",[ 14.30548083 -90.77196611],2021-10-11 16:39:38,4,-35.0,-12.0,37.0
Fuego_02,"[3, 5]",[ 14.40352781 -90.97740943],2021-10-11 16:39:42,3,37.0,-14.0,39.56008
Karangetang_00,"[0, 1]",[  2.95875051 125.29084847],2018-11-25 02:06:32,2,-35.0,-13.0,37.336308
Karangetang_00,"[1, 2]",[  2.74480575 125.24396088],2018-11-25 02:06:36,2,-34.0,-14.0,36.769554
Karangetang_00,"[3, 4]",[  2.76232893 125.47660821],2018-11-25 02:06:40,3,36.0,-14.0,38.626415
Karangetang_01,"[0, 1]",[  2.98869586 125.28285167],2018-11-30 02:06:35,2,-34.0,-1.0,34.0147
Karangetang_01,"[1, 2]",[  2.77468831 125.23591311],2018-11-30 02:06:39,2,-34.0,-1.0,34.0147
Krysuvik-Trolladyngja_00,"[0, 1]",[ 63.9298231  -22.38935457],2021-03-23 13:13:57,8,-34.0,-2.0,34.058773
Krysuvik-Trolladyngja_00,"[1, 3]",[ 63.72866211 -22.57336526],2021-03-23 13:14:01,8,-34.0,-2.0,34.058773
Krysuvik-Trolladyngja_00,"[2, 4]",[ 63.89986876 -21.8858321 ],2021-03-23 13:14:01,9,39.0,-1.0,39.012817
Krysuvik-Trolladyngja_00,"[4, 5]",[ 63.69922256 -22.07361603],2021-03-23 13:14:05,9,38.0,-1.0,38.013157
Krysuvik-Trolladyngja_01,"[0, 1]",[ 63.92986978 -22.39151881],2021-04-02 13:13:56,8,-34.0,-2.0,34.058773
Krysuvik-Trolladyngja_01,"[1, 3]",[ 63.72863251 -22.57578547],2021-04-02 13:14:00,8,-34.0,-2.0,34.058773
Krysuvik-Trolladyngja_01,"[2, 4]",[ 63.89987441 -21.88828066],2021-04-02 13:14:00,9,39.0,-1.0,39.012817
Krysuvik-Trolladyngja_02,"[0, 2]",[ 63.88283381 -22.01839545],2021-04-19 13:03:55,4,-35.0,-1.0,35.014282
Krysuvik-Trolladyngja_02,"[1, 3]",[ 64.00994644 -22.44049112],2021-04-19 13:03:59,3,38.0,-3.0,38.118237
Krysuvik-Trolladyngja_02,"[2, 4]",[ 63.67947647 -22.1867907 ],2021-04-19 13:03:59,4,-35.0,-1.0,35.014282
Krysuvik-Trolladyngja_02,"[3, 5]",[ 63.80615319 -22.60640091],2021-04-19 13:04:03,3,38.0,-3.0,38.118237
Krysuvik-Trolladyngja_03,"[0, 2]",[ 63.89241092 -22.01381064],2021-08-07 13:04:01,4,-35.0,-1.0,35.014282
Krysuvik-Trolladyngja_03,"[1, 3]",[ 64.01957227 -22.43575772],2021-08-07 13:04:05,3,38.0,-2.0,38.052597
Krysuvik-Trolladyngja_03,"[2, 4]",[ 63.68910082 -22.18227277],2021-08-07 13:04:05,4,-35.0,-1.0,35.014282
Krysuvik-Trolladyngja_03,"[3, 5]",[ 63.81578639 -22.60189428],2021-08-07 13:04:09,3,38.0,-3.0,38.118237
La_Palma_00,"[0, 2]",[ 28.71915298 -17.80297272],2021-09-20 12:03:33,10,-35.0,-13.0,37.336308
La_Palma_00,"[1, 3]",[ 28.83321995 -18.0287129 ],2021-09-20 12:03:37,9,37.0,-11.0,38.600517
La_Palma_00,"[2, 4]",[ 28.50664309 -17.8615473 ],2021-09-20 12:03:37,10,-35.0,-13.0,37.336308
La_Palma_02,"[0, 1]",[ 28.7623614  -17.79747134],2021-09-30 12:03:34,10,-35.0,-11.0,36.687874
La_Palma_02,"[1, 3]",[ 28.54970515 -17.85575985],2021-09-30 12:03:38,10,-35.0,-14.0,37.696156
Mayon_01,"[0, 1]",[ 13.32038554 123.67650837],2018-01-30 02:23:48,7,38.0,-1.0,38.013157
Mayon_02,"[0, 1]",[ 13.37346926 123.68979356],2018-02-09 02:23:47,7,37.0,1.0,37.01351
Mayon_02,"[1, 2]",[ 13.15949385 123.64079449],2018-02-09 02:23:50,7,38.0,0.0,38.0
Nyamulagira_00,"[1, 3]",[-1.53287979 29.08130318],2018-04-18 08:30:32,4,-34.0,-1.0,34.0147
Nyamulagira_00,"[2, 4]",[-1.30693364 29.35306001],2018-04-18 08:30:32,5,37.0,-2.0,37.054016
Nyamulagira_00,"[4, 5]",[-1.52090327 29.30573071],2018-04-18 08:30:36,5,37.0,-2.0,37.054016
Nyamulagira_01,"[0, 1]",[-1.33677215 29.1268529 ],2021-08-25 08:30:33,4,-35.0,-12.0,37.0
Nyamulagira_01,"[1, 3]",[-1.5506528  29.07971292],2021-08-25 08:30:36,4,-35.0,-12.0,37.0
Nyamulagira_01,"[2, 4]",[-1.32463229 29.35155384],2021-08-25 08:30:36,5,37.0,-14.0,39.56008
Nyamulagira_01,"[4, 5]",[-1.53836728 29.30424967],2021-08-25 08:30:40,5,37.0,-13.0,39.217342
Piton_de_la_Fournaise_00,"[0, 1]",[-21.19888873  55.71103266],2022-01-01 06:35:09,8,-34.0,-3.0,34.132095
Piton_de_la_Fournaise_00,"[1, 2]",[-21.41203161  55.65953509],2022-01-01 06:35:12,8,-34.0,-2.0,34.058773
Piton_de_la_Fournaise_01,"[0, 1]",[-21.16440425  55.72028689],2022-01-06 06:35:14,8,-35.0,-12.0,37.0
Piton_de_la_Fournaise_01,"[1, 2]",[-21.37733188  55.66887883],2022-01-06 06:35:17,8,-35.0,-12.0,37.0
Piton_de_la_Fournaise_10,"[0, 1]",[-21.15977128  55.73663995],2021-04-16 06:35:08,8,-34.0,-2.0,34.058773
Piton_de_la_Fournaise_10,"[1, 2]",[-21.37271282  55.68512476],2021-04-16 06:35:11,8,-34.0,-2.0,34.058773
Piton_de_la_Fournaise_11,"[0, 1]",[-21.2007861   55.72599583],2021-04-26 06:35:08,8,-34.0,-2.0,34.058773
Piton_de_la_Fournaise_11,"[1, 2]",[-21.41375029  55.67446276],2021-04-26 06:35:11,8,-34.0,-2.0,34.058773
Piton_de_la_Fournaise_12,"[4, 0]",[-21.38901503  55.6694776 ],2021-05-11 06:35:15,8,-36.0,-12.0,37.94733
Piton_de_la_Fournaise_12,"[4, 5]",[-21.38901515  55.66947756],2021-05-11 06:35:15,8,-36.0,-12.0,37.94733
Piton_de_la_Fournaise_30,"[1, 2]",[-21.41513498  55.67066693],2020-02-11 06:35:11,8,-35.0,-2.0,35.057095
Piton_de_la_Fournaise_31,"[0, 1]",[-21.20117871  55.71554357],2020-04-06 06:35:10,8,-35.0,-12.0,37.0
Piton_de_la_Fournaise_31,"[1, 2]",[-21.41445917  55.66422128],2020-04-06 06:35:13,8,-35.0,-12.0,37.0
Piton_de_la_Fournaise_32,"[0, 1]",[-21.18916147  55.72399576],2020-12-07 06:35:11,8,-35.0,-2.0,35.057095
Piton_de_la_Fournaise_32,"[1, 2]",[-21.40233878  55.67260096],2020-12-07 06:35:14,8,-35.0,-3.0,35.128338
Poas_10,"[0, 2]",[ 10.24315557 -84.11893978],2019-03-22 16:10:28,4,-34.0,-1.0,34.0147
Poas_10,"[1, 3]",[ 10.34130049 -84.32160802],2019-03-22 16:10:32,3,37.0,-3.0,37.12142
Poas_10,"[2, 4]",[ 10.02919537 -84.16632734],2019-03-22 16:10:32,4,-34.0,-1.0,34.0147
Poas_10,"[3, 5]",[ 10.1272852  -84.36933671],2019-03-22 16:10:36,3,37.0,-2.0,37.054016
Poas_11,"[0, 2]",[ 10.27732413 -84.11491882],2019-04-01 16:10:30,4,-34.0,-0.0,34.0
Poas_11,"[1, 3]",[ 10.37541491 -84.31757304],2019-04-01 16:10:34,3,38.0,-3.0,38.118237
Poas_11,"[2, 4]",[ 10.06326909 -84.16261163],2019-04-01 16:10:34,4,-35.0,-1.0,35.014282
Poas_11,"[3, 5]",[ 10.16140729 -84.36516491],2019-04-01 16:10:38,3,38.0,-2.0,38.052597
Poas_21,"[1, 3]",[ 10.3558478  -84.30906139],2017-06-25 16:10:30,3,37.0,-14.0,39.56008
Raung_10,"[0, 2]",[ -8.11818979 114.10203548],2020-07-19 02:50:04,8,-35.0,-12.0,37.0
Raung_10,"[1, 3]",[ -8.01333995 113.90304225],2020-07-19 02:50:08,7,37.0,-12.0,38.8973
Raung_10,"[2, 4]",[ -8.33224975 114.05457591],2020-07-19 02:50:08,8,-34.0,-12.0,36.05551
Raung_11,"[2, 4]",[ -8.32797797 114.06569552],2020-07-24 02:50:05,8,-34.0,-2.0,34.058773
Raung_12,"[0, 1]",[ -7.92321204 114.14302665],2020-07-29 02:50:02,8,-35.0,-13.0,37.336308
Raung_12,"[1, 3]",[ -8.13700409 114.09548975],2020-07-29 02:50:05,8,-35.0,-12.0,37.0
Raung_12,"[2, 4]",[ -8.03199286 113.89632649],2020-07-29 02:50:09,7,37.0,-12.0,38.8973
Sangay_00,"[4, 0]",[ -2.17019346 -78.42923517],2019-05-17 15:43:46,8,-35.0,-12.0,37.0
Sangay_00,"[3, 4]",[ -1.95627926 -78.3821054 ],2019-05-17 15:43:42,8,-35.0,-12.0,37.0
Sangay_00,"[4, 5]",[ -2.17019722 -78.42923604],2019-05-17 15:43:46,8,-35.0,-12.0,37.0
Sangay_01,"[0, 1]",[ -1.96515802 -78.38601564],2021-07-05 15:43:41,8,-34.0,-12.0,36.05551
Sangay_01,"[1, 2]",[ -2.17903341 -78.43308359],2021-07-05 15:43:45,8,-34.0,-12.0,36.05551
Sangay_01,"[3, 4]",[ -2.17376167 -78.21141915],2021-07-05 15:43:48,9,37.0,-10.0,38.327538
Sangay_10,"[0, 1]",[ -1.96108206 -78.36887646],2018-08-25 15:43:30,8,-34.0,-2.0,34.058773
Sangay_10,"[1, 2]",[ -2.17525365 -78.41589911],2018-08-25 15:43:34,8,-34.0,-2.0,34.058773
Sangay_10,"[3, 4]",[ -2.17021532 -78.19432073],2018-08-25 15:43:37,9,38.0,-1.0,38.013157
Sangay_11,"[0, 1]",[ -1.97046566 -78.39192652],2018-10-29 15:43:35,8,-35.0,-12.0,37.0
Sangay_11,"[1, 3]",[ -2.18455948 -78.43883932],2018-10-29 15:43:39,8,-35.0,-12.0,37.0
Sangay_11,"[2, 4]",[ -1.96535533 -78.17036183],2018-10-29 15:43:39,9,37.0,-10.0,38.327538
Sangay_11,"[4, 5]",[ -2.17923411 -78.21710115],2018-10-29 15:43:42,9,37.0,-10.0,38.327538
