ID_event,granule_couple,coordinates,sensing_time,detector_number,N_v,N_h,N_eff,Keypoints
Barren_Island_01,"[0, 2]",[12.32987187 93.9178503 ],2018-10-28 04:24:51,10,180.0,-2.0,180.01111,28
Barren_Island_01,"[1, 3]",[12.44087491 93.71370838],2018-10-28 04:24:55,9,-176.0,-11.0,176.34341,18
Barren_Island_01,"[2, 4]",[12.11619451 93.86871486],2018-10-28 04:24:55,10,181.0,-4.0,181.04419,28
Barren_Island_02,"[0, 2]",[12.37075955 93.926569  ],2021-07-29 04:24:56,10,184.0,0.0,184.0,9
Barren_Island_02,"[1, 3]",[12.48125208 93.72234549],2021-07-29 04:24:59,9,-176.0,-1.0,176.00284,29
Barren_Island_02,"[2, 4]",[12.15677035 93.87739786],2021-07-29 04:24:59,10,182.0,4.0,182.04395,52
Barren_Island_11,"[0, 1]",[12.46106318 93.96536214],2017-02-05 04:24:46,10,184.0,-4.0,184.04347,6
Chillan_Nevados_de_00,"[0, 1]",[-36.76152981 -71.23153243],2020-07-04 14:43:11,1,-184.0,-3.0,184.02446,187
Chillan_Nevados_de_00,"[1, 2]",[-36.97213547 -71.30136325],2020-07-04 14:43:15,1,-185.0,1.0,185.0027,416
Chillan_Nevados_de_01,"[1, 2]",[-36.93911341 -71.29770804],2021-05-25 14:43:13,1,-186.0,-10.0,186.26862,11
Chillan_Nevados_de_02,"[0, 1]",[-36.72140645 -71.22672918],2021-07-29 14:43:10,1,-184.0,-1.0,184.00272,306
Chillan_Nevados_de_02,"[1, 2]",[-36.93193246 -71.29650734],2021-07-29 14:43:14,1,-185.0,-0.0,185.0,363
Copahue_01,"[0, 1]",[-37.68945488 -71.2609153 ],2021-10-07 14:43:20,2,188.0,-10.0,188.26576,172
Copahue_01,"[1, 3]",[-37.9001027  -71.33120525],2021-10-07 14:43:23,2,189.0,-10.0,189.26436,150
Copahue_01,"[2, 4]",[-37.67750396 -70.96217023],2021-10-07 14:43:23,3,-183.0,-1.0,183.00273,198
Copahue_01,"[4, 5]",[-37.88823839 -71.03115067],2021-10-07 14:43:27,3,-183.0,-2.0,183.01093,159
Copahue_20,"[1, 3]",[-37.93541484 -71.3425861 ],2019-10-13 14:43:26,2,189.0,-22.0,190.27611,112
Copahue_21,"[4, 5]",[-37.90799368 -71.03241586],2019-11-12 14:43:29,3,-182.0,-12.0,182.39517,15
Copahue_30,"[0, 2]",[-37.9416861  -70.96837955],2017-07-18 14:53:19,12,191.0,-1.0,191.00262,247
Copahue_30,"[1, 3]",[-37.814859   -71.23048023],2017-07-18 14:53:23,11,-185.0,-14.0,185.52898,247
Copahue_30,"[3, 4]",[-38.02640357 -71.29176867],2017-07-18 14:53:26,11,-185.0,-14.0,185.52898,278
Etna_00,"[0, 2]",[37.78839439 15.1170077 ],2021-08-30 10:00:03,10,185.0,6.0,185.09727,99
Etna_00,"[1, 3]",[37.90576525 14.8680765 ],2021-08-30 10:00:07,9,-179.0,-3.0,179.02513,184
Etna_00,"[2, 4]",[37.5769621  15.04769359],2021-08-30 10:00:07,10,185.0,6.0,185.09727,79
Etna_00,"[3, 5]",[37.69403264 14.79950582],2021-08-30 10:00:10,9,-179.0,-1.0,179.00279,102
Etna_01,"[0, 1]",[37.91166975 15.11632571],2021-09-21 09:50:15,1,-182.0,-12.0,182.39517,8
Etna_03,"[0, 1]",[37.73354552 15.06005608],2019-05-30 09:50:23,1,-182.0,-1.0,182.00275,184
Fuego_01,"[0, 2]",[ 14.50726828 -90.7186214 ],2021-09-21 16:39:32,4,183.0,-18.0,183.88312,154
Fuego_01,"[1, 3]",[ 14.60558953 -90.92425786],2021-09-21 16:39:36,3,-180.0,-11.0,180.3358,219
Fuego_01,"[2, 4]",[ 14.29349908 -90.76726472],2021-09-21 16:39:36,4,183.0,-18.0,183.88312,24
Fuego_01,"[3, 5]",[ 14.39174178 -90.97260533],2021-09-21 16:39:39,3,-180.0,-10.0,180.27756,30
Fuego_02,"[0, 2]",[ 14.5193591  -90.72325757],2021-10-11 16:39:34,4,183.0,-17.0,183.78792,129
Fuego_02,"[1, 3]",[ 14.61761477 -90.92911751],2021-10-11 16:39:38,3,-180.0,-12.0,180.39955,184
Fuego_02,"[2, 4]",[ 14.30548083 -90.77196611],2021-10-11 16:39:38,4,182.0,-16.0,182.70195,34
Fuego_02,"[3, 5]",[ 14.40352781 -90.97740943],2021-10-11 16:39:42,3,-180.0,-11.0,180.3358,120
Karangetang_00,"[1, 2]",[  2.74480575 125.24396088],2018-11-25 02:06:36,2,181.0,-24.0,182.58423,11
Karangetang_00,"[3, 4]",[  2.76232893 125.47660821],2018-11-25 02:06:40,3,-177.0,-10.0,177.28226,42
Karangetang_01,"[0, 1]",[  2.98869586 125.28285167],2018-11-30 02:06:35,2,182.0,-11.0,182.3321,78
Karangetang_01,"[1, 2]",[  2.77468831 125.23591311],2018-11-30 02:06:39,2,183.0,-12.0,183.39302,42
