,type,event,start,end,satellite,lon,lat,poly,ID,l0_files,l1c_files
0,eruption,Barren_Island_00,2018-09-28 00:00:00,2018-09-28 23:59:59,S2A,93.86212045977967,12.284742412275888,"POLYGON((93.81618097195877 12.15818381379913,93.81613704172749 12.41129212890877,93.90810387783186 12.41129212890878,93.90805994760058 12.15818381379913,93.81618097195877 12.15818381379913))",0,"['S2B_OPER_MSI_L0__GR_SGS__20170928T092515_S20170928T042439_D10_N02.05.tar', 'S2B_OPER_MSI_L0__GR_SGS__20170928T092515_S20170928T042442_D09_N02.05.tar', 'S2B_OPER_MSI_L0__GR_SGS__20170928T092515_S20170928T042442_D10_N02.05.tar', 'S2B_OPER_MSI_L0__GR_SGS__20170928T092515_S20170928T042446_D09_N02.05.tar', 'S2B_OPER_MSI_L0__GR_SGS__20170928T092515_S20170928T042446_D10_N02.05.tar', 'S2B_OPER_MSI_L0__GR_SGS__20170928T092515_S20170928T042450_D09_N02.05.tar']",['S2A_MSIL1C_20180928T040541_N0206_R047_T46PEU_20180929T135308']
1,non_eruption,Barren_Island_00,2017-09-28 00:00:00,2017-09-28 23:59:59,S2B,93.86212045977967,12.284742412275888,"POLYGON((93.81618097195877 12.15818381379913,93.81613704172749 12.41129212890877,93.90810387783186 12.41129212890878,93.90805994760058 12.15818381379913,93.81618097195877 12.15818381379913))",1,"['S2B_OPER_MSI_L0__GR_SGS__20170928T092515_S20170928T042439_D10_N02.05.tar', 'S2B_OPER_MSI_L0__GR_SGS__20170928T092515_S20170928T042442_D09_N02.05.tar', 'S2B_OPER_MSI_L0__GR_SGS__20170928T092515_S20170928T042442_D10_N02.05.tar', 'S2B_OPER_MSI_L0__GR_SGS__20170928T092515_S20170928T042446_D09_N02.05.tar', 'S2B_OPER_MSI_L0__GR_SGS__20170928T092515_S20170928T042446_D10_N02.05.tar', 'S2B_OPER_MSI_L0__GR_SGS__20170928T092515_S20170928T042450_D09_N02.05.tar']",['S2B_MSIL1C_20170928T040529_N0205_R047_T46PEU_20170928T042236']
2,eruption,Barren_Island_01,2018-10-28 00:00:00,2018-10-28 23:59:59,S2A,93.86212045977967,12.284742412275888,"POLYGON((93.81618097195877 12.15818381379913,93.81613704172749 12.41129212890877,93.90810387783186 12.41129212890878,93.90805994760058 12.15818381379913,93.81618097195877 12.15818381379913))",2,"['S2B_OPER_MSI_L0__GR_MTI__20171028T093953_S20171028T042442_D10_N02.06.tar', 'S2B_OPER_MSI_L0__GR_MTI__20171028T093953_S20171028T042446_D09_N02.06.tar', 'S2B_OPER_MSI_L0__GR_MTI__20171028T093953_S20171028T042446_D10_N02.06.tar', 'S2B_OPER_MSI_L0__GR_MTI__20171028T093953_S20171028T042449_D09_N02.06.tar', 'S2B_OPER_MSI_L0__GR_MTI__20171028T093953_S20171028T042449_D10_N02.06.tar']",['S2A_MSIL1C_20181028T040851_N0206_R047_T46PEU_20181028T070450']
3,non_eruption,Barren_Island_01,2017-10-28 00:00:00,2017-10-28 23:59:59,S2B,93.86212045977967,12.284742412275888,"POLYGON((93.81618097195877 12.15818381379913,93.81613704172749 12.41129212890877,93.90810387783186 12.41129212890878,93.90805994760058 12.15818381379913,93.81618097195877 12.15818381379913))",3,"['S2B_OPER_MSI_L0__GR_MTI__20171028T093953_S20171028T042442_D10_N02.06.tar', 'S2B_OPER_MSI_L0__GR_MTI__20171028T093953_S20171028T042446_D09_N02.06.tar', 'S2B_OPER_MSI_L0__GR_MTI__20171028T093953_S20171028T042446_D10_N02.06.tar', 'S2B_OPER_MSI_L0__GR_MTI__20171028T093953_S20171028T042449_D09_N02.06.tar', 'S2B_OPER_MSI_L0__GR_MTI__20171028T093953_S20171028T042449_D10_N02.06.tar']",['S2B_MSIL1C_20171028T040839_N0206_R047_T46PEU_20171028T095310']
4,eruption,Barren_Island_02,2021-07-29 00:00:00,2021-07-29 23:59:59,S2B,93.86212045977967,12.284742412275888,"POLYGON((93.81618097195877 12.15818381379913,93.81613704172749 12.41129212890877,93.90810387783186 12.41129212890878,93.90805994760058 12.15818381379913,93.81618097195877 12.15818381379913))",4,"['S2A_OPER_MSI_L0__GR_VGS2_20200729T074807_S20200729T042500_D10_N02.09.tar', 'S2A_OPER_MSI_L0__GR_VGS2_20200729T074807_S20200729T042503_D09_N02.09.tar', 'S2A_OPER_MSI_L0__GR_VGS2_20200729T074807_S20200729T042503_D10_N02.09.tar', 'S2A_OPER_MSI_L0__GR_VGS2_20200729T074807_S20200729T042507_D09_N02.09.tar', 'S2A_OPER_MSI_L0__GR_VGS2_20200729T074807_S20200729T042507_D10_N02.09.tar']",['S2B_MSIL1C_20210729T040549_N0301_R047_T46PEU_20210729T063323']
5,non_eruption,Barren_Island_02,2020-07-29 00:00:00,2020-07-29 23:59:59,S2A,93.86212045977967,12.284742412275888,"POLYGON((93.81618097195877 12.15818381379913,93.81613704172749 12.41129212890877,93.90810387783186 12.41129212890878,93.90805994760058 12.15818381379913,93.81618097195877 12.15818381379913))",5,"['S2A_OPER_MSI_L0__GR_VGS2_20200729T074807_S20200729T042500_D10_N02.09.tar', 'S2A_OPER_MSI_L0__GR_VGS2_20200729T074807_S20200729T042503_D09_N02.09.tar', 'S2A_OPER_MSI_L0__GR_VGS2_20200729T074807_S20200729T042503_D10_N02.09.tar', 'S2A_OPER_MSI_L0__GR_VGS2_20200729T074807_S20200729T042507_D09_N02.09.tar', 'S2A_OPER_MSI_L0__GR_VGS2_20200729T074807_S20200729T042507_D10_N02.09.tar']",['S2A_MSIL1C_20200729T040551_N0209_R047_T46PEU_20200729T075259']
6,eruption,Barren_Island_10,2017-01-16 00:00:00,2017-01-16 23:59:59,S2A,93.86212045977967,12.284742412275888,"POLYGON((93.81618097195877 12.15818381379913,93.81613704172749 12.41129212890877,93.90810387783186 12.41129212890878,93.90805994760058 12.15818381379913,93.81618097195877 12.15818381379913))",6,"['S2A_OPER_MSI_L0__GR_MTI__20160819T093155_S20160819T042457_D10_N02.04.tar', 'S2A_OPER_MSI_L0__GR_MTI__20160819T093155_S20160819T042500_D09_N02.04.tar', 'S2A_OPER_MSI_L0__GR_MTI__20160819T093155_S20160819T042500_D10_N02.04.tar', 'S2A_OPER_MSI_L0__GR_MTI__20160819T093155_S20160819T042504_D09_N02.04.tar', 'S2A_OPER_MSI_L0__GR_MTI__20160819T093155_S20160819T042504_D10_N02.04.tar']",['S2A_MSIL1C_20170116T041111_N0204_R047_T46PEU_20170116T041554']
7,non_eruption,Barren_Island_10,2016-08-19 00:00:00,2016-08-19 23:59:59,S2A,93.86212045977967,12.284742412275888,"POLYGON((93.81618097195877 12.15818381379913,93.81613704172749 12.41129212890877,93.90810387783186 12.41129212890878,93.90805994760058 12.15818381379913,93.81618097195877 12.15818381379913))",7,"['S2A_OPER_MSI_L0__GR_MTI__20160819T093155_S20160819T042457_D10_N02.04.tar', 'S2A_OPER_MSI_L0__GR_MTI__20160819T093155_S20160819T042500_D09_N02.04.tar', 'S2A_OPER_MSI_L0__GR_MTI__20160819T093155_S20160819T042500_D10_N02.04.tar', 'S2A_OPER_MSI_L0__GR_MTI__20160819T093155_S20160819T042504_D09_N02.04.tar', 'S2A_OPER_MSI_L0__GR_MTI__20160819T093155_S20160819T042504_D10_N02.04.tar']",['S2A_MSIL1C_20160819T040552_N0204_R047_T46PEU_20160819T042247']
8,eruption,Barren_Island_11,2017-02-05 00:00:00,2017-02-05 23:59:59,S2A,93.86212045977967,12.284742412275888,"POLYGON((93.81618097195877 12.15818381379913,93.81613704172749 12.41129212890877,93.90810387783186 12.41129212890878,93.90805994760058 12.15818381379913,93.81618097195877 12.15818381379913))",8,"['S2A_OPER_MSI_L0__GR_MTI__20160511T093110_S20160511T042500_D10_N02.02.tar', 'S2A_OPER_MSI_L0__GR_MTI__20160511T093110_S20160511T042503_D09_N02.02.tar', 'S2A_OPER_MSI_L0__GR_MTI__20160511T093110_S20160511T042503_D10_N02.02.tar', 'S2A_OPER_MSI_L0__GR_MTI__20160511T093110_S20160511T042507_D09_N02.02.tar', 'S2A_OPER_MSI_L0__GR_MTI__20160511T093110_S20160511T042507_D10_N02.02.tar']",['S2A_MSIL1C_20170205T040941_N0204_R047_T46PEU_20170205T042348']
9,non_eruption,Barren_Island_11,2016-05-11 00:00:00,2016-05-11 23:59:59,S2A,93.86212045977967,12.284742412275888,"POLYGON((93.81618097195877 12.15818381379913,93.81613704172749 12.41129212890877,93.90810387783186 12.41129212890878,93.90805994760058 12.15818381379913,93.81618097195877 12.15818381379913))",9,"['S2A_OPER_MSI_L0__GR_MTI__20160511T093110_S20160511T042500_D10_N02.02.tar', 'S2A_OPER_MSI_L0__GR_MTI__20160511T093110_S20160511T042503_D09_N02.02.tar', 'S2A_OPER_MSI_L0__GR_MTI__20160511T093110_S20160511T042503_D10_N02.02.tar', 'S2A_OPER_MSI_L0__GR_MTI__20160511T093110_S20160511T042507_D09_N02.02.tar', 'S2A_OPER_MSI_L0__GR_MTI__20160511T093110_S20160511T042507_D10_N02.02.tar']",['S2A_MSIL1C_20160511T040552_N0202_R047_T46PEU_20160511T042250']
